,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs,resulted_new_facts_list,answer_code,answer_LLM,answer_labels,answer_reasons,answer_wo_prompts
0,66181,10,3151,"Anne is quiet. Charlie is kind. Erin is red. Harry is blue. Harry is green. Harry is kind. Harry is red. All round, quiet things are blue. If something is blue then it is quiet. If something is blue then it is red. All furry things are green. All red things are furry. All kind things are round. If something is red and blue then it is furry. All round things are blue. If Charlie is blue and Charlie is green then Charlie is furry.",Charlie is green.,True,OWA,train,5,AttNoneg-OWA-D5-366,5,7,9,5,6,proof,[(((((((((((triple2) -> rule6)) -> rule8)) -> rule3)) -> rule5)) -> rule4) OR ((((((((((triple2) -> rule6)) -> rule8)) -> rule3) ((((triple2) -> rule6)) -> rule8)) -> rule7)) -> rule4))],"1. Anne is quiet.
2. Charlie is kind.
3. Erin is red.
4. Harry is blue.
5. Harry is green.
6. Harry is kind.
7. Harry is red.
8. Harry is blue
9. Harry is green
10. Harry is red
11. Harry is kind
12. Harry is quiet
13. Harry is furry
14. Harry is round
",False,False,"1. no
","1. no, because the query can not be found in the contexts.
","1.  no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
"
1,22283,10,1064,"Anne is furry. Anne is nice. Anne is young. Bob is young. Erin is green. Erin is quiet. Harry is smart. All green, cold things are smart. All green, young things are nice. All young things are smart. Quiet things are furry. Nice things are young. Quiet things are young. If Harry is smart then Harry is cold. Smart, young things are quiet. All quiet, furry things are green.",Bob is nice.,True,OWA,train,5,AttNoneg-OWA-D5-293,5,7,9,5,12,proof,[(((((((((triple4) -> rule3) triple4) -> rule8) ((((((triple4) -> rule3) triple4) -> rule8)) -> rule4)) -> rule9) triple4) -> rule2))],"1. Anne is furry.
2. Anne is nice.
3. Anne is young.
4. Bob is young.
5. Erin is green.
6. Erin is quiet.
7. Harry is smart.
8. Anne is smart
9. Anne is nice
10. Anne is young
11. Bob is smart
12. Erin is smart
13. Erin is young
14. Harry is smart
15. Harry is young
16. Harry is quiet
17. Harry is furry
18. Harry is green
19. Harry is nice
20. Anne is quiet
21. Anne is furry
22. Anne is green
",False,False,"1. no
","1. no, because the query can not be found in the contexts.
","1.  no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer
"
2,39639,10,1887,"Bob is furry. Bob is quiet. Bob is smart. Charlie is young. Dave is cold. Dave is quiet. Fiona is cold. If Dave is red then Dave is furry. Red, young things are quiet. Quiet things are red. If something is round and quiet then it is furry. If something is cold then it is quiet. All red, quiet things are furry. Quiet, furry things are round. If something is cold and furry then it is young. If something is cold and young then it is smart.",Fiona is smart.,True,OWA,train,5,AttNoneg-OWA-D5-540,5,7,9,5,10,proof,[(((triple7 ((triple7 ((((((triple7) -> rule5)) -> rule3) ((triple7) -> rule5)) -> rule6)) -> rule8)) -> rule9))],"1. Bob is furry.
2. Bob is quiet.
3. Bob is smart.
4. Charlie is young.
5. Dave is cold.
6. Dave is quiet.
7. Fiona is cold.
8. Bob is blue
9. Bob is nice
10. Bob is kind
11. Charlie is young
12. Dave is cold
13. Dave is quiet
14. Fiona is cold
",False,False,"1. no
","1. no, because the query can not be found in the contexts.
","1.  no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the context
"
3,69151,10,3290,Anne is kind. Bob is kind. Bob is rough. Charlie is big. Charlie is blue. Charlie is rough. Harry is rough. If Anne is rough and Anne is smart then Anne is kind. Quiet people are rough. Smart people are furry. All rough people are kind. If someone is blue and kind then they are furry. If someone is furry and smart then they are big. If someone is kind and furry then they are quiet. Kind people are big. All big people are blue.,Harry is quiet.,True,OWA,train,5,AttNoneg-OWA-D5-1276,5,7,9,5,10,proof,[(((((triple7) -> rule4) ((((((((triple7) -> rule4)) -> rule8)) -> rule9) ((triple7) -> rule4)) -> rule5)) -> rule7))],"1. Anne is kind.
2. Bob is kind.
3. Bob is rough.
4. Charlie is big.
5. Charlie is blue.
6. Charlie is rough.
7. Harry is rough.
",False,False,"1. no
","1. no, because the query can not be found in the contexts.
","1.  no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<
"
4,51389,10,2445,"Bob is blue. Charlie is nice. Erin is not blue. Erin is white. Fiona is nice. Fiona is rough. Fiona is white. Rough, quiet things are round. Quiet, nice things are round. If something is rough then it is quiet. All furry, rough things are blue. Blue, furry things are nice. All blue, quiet things are nice. Blue things are furry. All nice things are rough. If something is nice and not rough then it is not white.",Bob is round.,True,OWA,train,5,AttNeg-OWA-D5-60,5,7,9,5,11,proof,[(((((((((triple1 ((triple1) -> rule7)) -> rule5)) -> rule8)) -> rule3) ((triple1 ((triple1) -> rule7)) -> rule5)) -> rule2) OR ((((((triple1 ((triple1) -> rule7)) -> rule5)) -> rule8) ((((((triple1 ((triple1) -> rule7)) -> rule5)) -> rule8)) -> rule3)) -> rule1))],"1. Bob is blue.
2. Charlie is nice.
3. Erin is not blue.
4. Erin is white.
5. Fiona is nice.
6. Fiona is rough.
7. Fiona is white.
",False,False,"1. no
","1. no, because the query can not be found in the contexts.
","1.  no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
"
5,28807,10,1375,The bald eagle visits the rabbit. The bear is kind. The mouse is red. The mouse is round. The rabbit is red. The rabbit sees the bald eagle. The rabbit visits the bald eagle. If someone is kind then they visit the rabbit. If someone sees the bear and they visit the rabbit then they are cold. If someone is green then they are kind. If someone is round and they visit the bald eagle then they see the mouse. If someone is kind and they visit the bald eagle then the bald eagle sees the rabbit. Cold people are kind. If the rabbit sees the bald eagle and the rabbit is kind then the rabbit sees the bear. If someone sees the rabbit then they are cold. If someone is red then they see the rabbit.,The bald eagle is cold.,True,OWA,train,5,RelNoneg-OWA-D5-17,6,7,9,5,7,proof,[(((((((((((triple5) -> rule9)) -> rule8)) -> rule6) triple7) -> rule5)) -> rule8))],"1. The bald eagle visits the rabbit.
2. The bear is kind.
3. The mouse is red.
4. The mouse is round.
5. The rabbit is red.
6. The rabbit sees the bald eagle.
7. The rabbit visits the bald eagle.
8. The rabbit visits the bald eagle
9. The rabbit sees the bear
10. The rabbit sees the mouse
11. The rabbit sees
12. Bob is blue
13. Bob is nice
14. Bob is kind
15. Bob is rude
16. Bob is rough
17. Bob is c
18. 2
19. 1
",False,False,"1. no
","1. no, because the query can not be found in the contexts.
","1.  no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
"
6,23841,10,1137,"Bob is blue. Bob is green. Fiona is green. Gary is big. Harry is big. Harry is blue. Harry is young. Big people are green. All furry, young people are quiet. Green people are blue. If someone is furry and white then they are young. All furry, green people are blue. If Harry is quiet and Harry is furry then Harry is blue. Young, furry people are quiet. Furry people are white. Blue, green people are furry.",Fiona is quiet.,True,OWA,train,5,AttNoneg-OWA-D5-76,6,7,9,5,15,proof,[(((((((triple3) -> rule3) triple3) -> rule9) ((((((triple3) -> rule3) triple3) -> rule9) ((((((triple3) -> rule3) triple3) -> rule9)) -> rule8)) -> rule4)) -> rule2) OR ((((((((triple3) -> rule3) triple3) -> rule9) ((((((triple3) -> rule3) triple3) -> rule9)) -> rule8)) -> rule4) ((((triple3) -> rule3) triple3) -> rule9)) -> rule7))],"1. Bob is blue.
2. Bob is green.
3. Fiona is green.
4. Gary is big.
5. Harry is big.
6. Harry is blue.
7. Harry is young.
",False,False,"1. no
","1. no, because the query can not be found in the contexts.
","1.  no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
"
7,10525,10,498,"Bob is green. Bob is kind. Charlie is nice. Erin is kind. Erin is nice. Erin is white. Gary is young. All young things are white. White things are young. All nice, green things are kind. If something is young then it is furry. All kind things are nice. All nice, green things are white. If something is cold and kind then it is green. If something is nice and young then it is furry. Furry things are cold.",Bob is cold.,True,OWA,test,5,AttNoneg-OWA-D5-1370,5,7,9,5,7,proof,[(((((((((((triple2) -> rule5) triple1) -> rule6)) -> rule2)) -> rule4)) -> rule9) OR ((((((triple2) -> rule5) ((((((triple2) -> rule5) triple1) -> rule6)) -> rule2)) -> rule8)) -> rule9))],"1. Bob is green.
2. Bob is kind.
3. Charlie is nice.
4. Erin is kind.
5. Erin is nice.
6. Erin is white.
7. Gary is young.
8. Bob is blue.
9. Bob is nice.
10. Gary is white.
11. Gary is nice.
12. Gary is furry.
13. Gary is cold.
14. Gary is kind.
15. Gary is green.
16. Bob is blue
17. Bob is nice
18. Charlie is nice
19. Erin is kind
20. Erin is nice
21. Erin is white
22. Gary is young
23. Gary is white
24. Gary is nice
25. Gary is furry
26. Gary is cold
27. Gary is kind
28. 1
",False,False,"1. no
","1. no, because the query can not be found in the contexts.
","1.  no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<
"
8,38529,10,1834,"Anne is not kind. Bob is big. Bob is blue. Bob is green. Bob is white. Charlie is big. Gary is green. Kind things are white. Green, round things are big. If Bob is kind then Bob is big. If Bob is blue then Bob is big. All green things are blue. All kind things are round. If something is green then it is round. All big, rough things are kind. Blue, big things are rough.",Gary is white.,True,OWA,train,5,AttNeg-OWA-D5-1016,5,7,9,5,13,proof,[(((((((triple7 ((triple7) -> rule7)) -> rule2) ((((triple7) -> rule5) ((triple7 ((triple7) -> rule7)) -> rule2)) -> rule9)) -> rule8)) -> rule1))],"1. Anne is not kind.
2. Bob is big.
3. Bob is blue.
4. Bob is green.
5. Bob is white.
6. Charlie is big.
7. Gary is green.
8. Anne is not white.
9. Bob is kind.
10. Bob is rough.
11. Bob is nice.
12. Bob is cute.
13. Bob is round.
14. 24
15. Bob is blue
16. Bob is nice
17. Bob is round
18. Bob is big
19. Bob is white
20. Bob is kind
21. Bob is green
22. Bob is cute
23. Bob is rough
24. Bob is pretty
",False,False,"1. no
","1. no, because the query can not be found in the contexts.
","1.  no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: no, because the query can not
"
9,62487,10,2972,"Bob is quiet. Charlie is quiet. Charlie is young. Erin is cold. Erin is rough. Harry is quiet. Harry is white. All white, quiet things are kind. All rough, cold things are white. All red things are rough. All cold, young things are red. If something is quiet then it is cold. All kind things are cold. Young things are cold. White, rough things are young. If something is rough then it is quiet.",Charlie is kind.,True,OWA,train,5,AttNoneg-OWA-D5-51,5,7,9,5,10,proof,[(((((((((((triple2) -> rule5) triple3) -> rule4)) -> rule3) ((triple2) -> rule5)) -> rule2) triple2) -> rule1) OR ((((((((((triple2) -> rule5) triple3) -> rule4)) -> rule3) ((triple3) -> rule7)) -> rule2) triple2) -> rule1) OR ((((((((((triple3) -> rule7) triple3) -> rule4)) -> rule3) ((triple2) -> rule5)) -> rule2) triple2) -> rule1) OR ((((((((((triple3) -> rule7) triple3) -> rule4)) -> rule3) ((triple3) -> rule7)) -> rule2) triple2) -> rule1) OR ((((((((((triple2) -> rule5) triple3) -> rule4)) -> rule3) ((triple2) -> rule5)) -> rule2) ((((((((triple3) -> rule7) triple3) -> rule4)) -> rule3)) -> rule9)) -> rule1) OR ((((((((((triple2) -> rule5) triple3) -> rule4)) -> rule3) ((triple3) -> rule7)) -> rule2) ((((((((triple3) -> rule7) triple3) -> rule4)) -> rule3)) -> rule9)) -> rule1) OR ((((((((((triple3) -> rule7) triple3) -> rule4)) -> rule3) ((triple2) -> rule5)) -> rule2) ((((((((triple3) -> rule7) triple3) -> rule4)) -> rule3)) -> rule9)) -> rule1) OR ((((((((((triple3) -> rule7) triple3) -> rule4)) -> rule3) ((triple3) -> rule7)) -> rule2) ((((((((triple3) -> rule7) triple3) -> rule4)) -> rule3)) -> rule9)) -> rule1))],"1. Bob is quiet.
2. Charlie is quiet.
3. Charlie is young.
4. Erin is cold.
5. Erin is rough.
6. Harry is quiet.
7. Harry is white.
8. Bob is kind
9. Charlie is kind
10. Erin is kind
11. Harry is kind
",False,False,"1. no
","1. no, because the query can not be found in the contexts.
","1.  no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not be found in the contexts.
</Answer>
<Answer>
Answer: yes, because the query can be found in the contexts 2.
</Answer>
<Answer>
Answer: no, because the query can not
"
