,nr,q_nr,theory_nr,theory,question,answer,meta_folder,meta_file,meta_depth,meta_id,D_maxD,D_NFact,D_NRule,Q_Dep,Q_Len,Q_strategy,Q_proofs,formulated_facts_str,formulated_rules_str,resulted_new_facts_list,formulated_query_list,answer_code,answer_LLM
0,1851,8,87,"Anne is white. Erin is round. Erin is white. Gary is cold. Gary is round. Harry is furry. Harry is green. Furry, white people are green. Nice people are round. All round, furry people are green. All cold people are white. All cold, rough people are round. All white people are cold. If someone is cold then they are furry. All furry, green people are rough. All round, green people are cold.",Erin is rough.,True,OWA,dev,5,AttNoneg-OWA-D5-1250,5,7,9,4,9,proof,[(((((((triple3) -> rule6)) -> rule7) ((triple2 ((((triple3) -> rule6)) -> rule7)) -> rule3)) -> rule8) OR ((((((triple3) -> rule6)) -> rule7) ((((((triple3) -> rule6)) -> rule7) triple3) -> rule1)) -> rule8))],"1. White(Anne)
2. Round(Erin)
3. Round(Erin)
4. Cold(Gary)
5. Round(Gary)
6. Furry(Harry)
7. Green(Harry)
","1. IF Furry(people) AND White(people) THEN Green(people)
2. IF Nice(people) THEN Round(people)
3. IF All(round, furry people) THEN Green(people)
4. IF All(cold, white people) THEN White(people)
5. IF Someone(is cold) THEN Furry(people)
6. IF Furry(people) THEN Round(people)
7. IF All(round, green people) THEN Cold(people)
","1. White(Anne)
2. Round(Erin)
3. Round(Erin)
4. Cold(Gary)
5. Round(Gary)
6. Furry(Harry)
7. Green(Harry)
","1. Rough(Erin)
",False,False
1,23543,8,1122,The cow is big. The cow needs the tiger. The mouse is blue. The mouse sees the tiger. The rabbit sees the mouse. The tiger is blue. The tiger needs the rabbit. If something needs the tiger then it does not visit the tiger. If something sees the mouse then the mouse sees the cow. If something is nice then it sees the rabbit. If the mouse visits the tiger and the tiger is young then the tiger sees the rabbit. If something needs the rabbit then it visits the cow. If something is young then it sees the cow. If something sees the cow then it needs the rabbit. If the tiger is big then the tiger is blue. If something visits the cow and it sees the cow then the cow needs the rabbit.,The cow needs the rabbit.,True,OWA,train,5,RelNeg-OWA-D5-3,5,7,9,4,7,proof,[(((((((((triple5) -> rule2)) -> rule7)) -> rule5) ((triple5) -> rule2)) -> rule9))],"1. Big(Cow)
2. Need(Cow, Tiger)
3. Blue(Mouse)
4. See(Mouse, Tiger)
5. See(Rabbit, Mouse)
6. Blue(Tiger)
7. Need(Tiger, Rabbit)
","1. IF Needs(tiger) THEN DoesNotVisit(tiger)
2. IF Sees(mouse) THEN Sees(cow)
3. IF Nice(person) THEN Sees(rabbit)
4. IF Visits(mouse, tiger) AND Young(tiger) THEN Sees(rabbit)
5. IF Needs(rabbit) THEN Visits(person, cow)
6. IF Young(person) THEN Sees(cow)
7. IF Sees(cow) THEN Needs(rabbit)
8. IF Big(tiger) THEN Blue(tiger)
9. IF Visits(person, cow) THEN Sees(rabbit)
","1. Big(Cow)
2. Need(Cow, Tiger)
3. Blue(Mouse)
4. See(Mouse, Tiger)
5. See(Rabbit, Mouse)
6. Blue(Tiger)
7. Need(Tiger, Rabbit)
8. NOTHING
","1. Need(Cow, Rabbit)
",False,False
2,29365,8,1401,The cat chases the lion. The cat does not chase the mouse. The cat sees the tiger. The lion is nice. The mouse likes the cat. The tiger chases the lion. The tiger likes the mouse. If someone sees the mouse and they are rough then the mouse sees the tiger. If someone sees the lion and the lion likes the tiger then they are nice. If someone likes the tiger then they are nice. If someone is rough then they see the mouse. If someone likes the lion then the lion sees the mouse. If someone chases the tiger and the tiger sees the mouse then the mouse is not big. If someone sees the lion then the lion likes the tiger. If someone likes the lion and they chase the cat then they do not see the lion. If someone sees the tiger and the tiger chases the lion then they are rough.,The mouse is rough.,True,OWA,train,5,RelNeg-OWA-D5-161,5,7,9,4,10,proof,[(((((((((triple3 triple6) -> rule9)) -> rule4) ((triple3 triple6) -> rule9)) -> rule1) triple6) -> rule9))],"1. Chase(Cat, Lion)
2. DoNotChase(Cat, Mouse)
3. See(Cat, Tiger)
4. Nice(Lion)
5. Like(Cat, Mouse)
6. Chase(Tiger, Lion)
7. Like(Tiger, Mouse)
","1. IF Rough(Person) AND See(Mouse), THEN Tiger(Person)
2. IF Like(Person, Lion) AND Lion(Lion) THEN Nice(Person)
3. IF Like(Person, Tiger) THEN Nice(Person)
4. IF Rough(Person) THEN See(Mouse)
5. IF Like(Person, Lion) THEN Lion(Person)
6. IF Chase(Person, Cat) THEN Not(Lion(Person))
7. IF See(Person, Tiger) THEN Rough(Person)
8. IF Like(Person, Lion) THEN Rough(Person)
","1. Chase(Cat, Lion)
2. DoNotChase(Cat, Mouse)
3. See(Cat, Tiger)
4. Nice(Lion)
5. Like(Cat, Mouse)
6. Chase(Tiger, Lion)
7. Like(Tiger, Mouse)
8. NOTHING
","1. Rough(Mouse)
",False,False
3,12017,8,568,The cat visits the tiger. The lion eats the tiger. The lion does not visit the tiger. The rabbit eats the cat. The rabbit eats the tiger. The rabbit is nice. The tiger is round. If something is rough and not cold then it does not eat the tiger. If something visits the cat and the cat does not eat the lion then the lion is rough. If something visits the cat then the cat eats the rabbit. If something eats the rabbit then the rabbit is blue. If something eats the tiger then the tiger is blue. If something likes the tiger then the tiger eats the rabbit. If something likes the rabbit then it visits the lion. If something visits the tiger and the tiger is blue then the tiger does not eat the cat. If something is blue then it visits the cat.,The rabbit is blue.,True,OWA,test,5,RelNeg-OWA-D5-525,5,7,9,4,5,proof,[(((((((((triple2) -> rule5)) -> rule9)) -> rule3)) -> rule4) OR ((((((((triple5) -> rule5)) -> rule9)) -> rule3)) -> rule4))],"1. Good(Bob)
2. Need(Bob, Apple)
3. Like(Cat, Apple)
4. Eat(Lion, Tiger)
5. Eat(Rabbit, Cat)
6. Nice(Rabbit)
7. Round(Tiger)
","1. IF Rough(X) AND Not Cold(X), THEN X does not eat Tiger.
2. IF Visit(X, Cat) AND Not Eat(Cat, Lion), THEN Lion is Rough.
3. IF Visit(X, Cat) THEN Cat eats Rabbit.
4. IF Eat(X, Rabbit) THEN Rabbit is Blue.
5. IF Eat(X, Tiger) THEN Tiger is Blue.
6. IF Like(X, Tiger) THEN Tiger eats Rabbit.
7. IF Like(X, Rabbit) THEN X visits Lion.
8. IF Visit(X, Tiger) AND Tiger is Blue, THEN Tiger does not eat Cat.
9. IF Blue(X) THEN X visits Cat.
","1. Good(Bob)
2. Need(Bob, Apple)
3. Like(Cat, Apple)
4. Eat(Lion, Tiger)
5. Eat(Rabbit, Cat)
6. Nice(Rabbit)
7. Round(Tiger)
","1. Blue(Rabbit)
",False,False
4,5711,8,269,"Anne is quiet. Charlie is round. Charlie is smart. Erin is green. Erin is kind. Erin is round. Fiona is not furry. All kind people are cold. Furry, round people are cold. If someone is quiet then they are furry. If someone is kind and not smart then they are furry. All cold, smart people are round. If Charlie is round and Charlie is cold then Charlie is green. All smart people are quiet. If Anne is green then Anne is cold. If someone is furry and green then they are not kind.",Charlie is green.,True,OWA,dev,5,AttNeg-OWA-D5-397,5,7,9,4,7,proof,[(((triple2 ((((((triple3) -> rule7)) -> rule3) triple2) -> rule2)) -> rule6))],"1. Quiet(Anne)
2. Round(Charlie)
3. Smart(Charlie)
4. Green(Erin)
5. Kind(Erin)
6. Round(Erin)
7. Not Furry(Fiona)
","1. IF Cold(people) THEN Furry(people)
2. IF Furry(people) AND Round(people) THEN Cold(people)
3. IF Quiet(person) THEN Furry(person)
4. IF Kind(person) AND Not Smart(person) THEN Furry(person)
5. IF Cold(person) AND Smart(person) THEN Round(person)
6. IF Charlie(person) AND Round(person) THEN Green(person)
7. IF Smart(person) THEN Quiet(person)
8. IF Green(person) THEN Cold(person)
9. IF Furry(person) AND Green(person) THEN Not Kind(person)
","1. Quiet(Anne)
2. Round(Charlie)
3. Smart(Charlie)
4. Green(Erin)
5. Kind(Erin)
6. Round(Erin)
7. Not Furry(Fiona)
8. NOTHING.
","1. Green(Charlie)
",False,False
5,38447,8,1830,"The cat does not need the cow. The cow chases the lion. The cow chases the mouse. The lion does not chase the cat. The lion does not chase the cow. The lion needs the cat. The mouse is big. If something needs the lion and the lion is young then the lion does not chase the cat. If something chases the lion and it is round then the lion is green. If something visits the cat then it needs the cat. If something needs the mouse then it is young. If something visits the cat and it does not chase the cow then it is young. All round, big things are rough. If something is big and it visits the mouse then it does not visit the lion. If something needs the cat then it needs the mouse. If something needs the mouse then the mouse visits the cat.",The mouse needs the mouse.,True,OWA,train,5,RelNeg-OWA-D5-21,5,7,9,4,5,proof,[(((((((((triple6) -> rule8)) -> rule9)) -> rule3)) -> rule8))],"1. Good(Bob)
2. Need(Bob, Apple)
3. Like(Cat, Apple)
4. DoNotNeed(Cat, Cow)
5. Chase(Lion, Mouse)
6. Chase(Lion, Cow)
7. Need(Lion, Cat)
","1. IF Need(lion) AND Young(lion), THEN DoesNotChase(lion, cat)
2. IF Chase(lion) AND Round(lion), THEN Green(lion)
3. IF Visit(cat), THEN Need(cat)
4. IF Need(mouse), THEN Young(mouse)
5. IF Visit(cat) AND DoesNotChase(cat, cow), THEN Young(cat)
6. IF Round(thing) AND Big(thing), THEN Rough(thing)
7. IF Big(thing) AND Visit(mouse), THEN DoesNotVisit(lion)
8. IF Need(cat), THEN Need(mouse)
9. IF Need(mouse), THEN Visit(cat)
","1. Good(Bob)
2. Need(Bob, Apple)
3. Like(Cat, Apple)
4. DoNotNeed(Cat, Cow)
5. Chase(Lion, Mouse)
6. Chase(Lion, Cow)
7. Need(Lion, Cat)
","1. Need(Mouse, Mouse)
",False,False
6,52855,8,2513,The bald eagle likes the bear. The bear is kind. The bear likes the bald eagle. The dog chases the bald eagle. The dog is red. The tiger chases the bear. The tiger is round. If something sees the tiger then it chases the bear. If something likes the bear then it likes the bald eagle. If something is kind then it likes the bald eagle. If something is red and it chases the bear then the bear chases the bald eagle. If something sees the dog then it sees the tiger. Red things are round. If something chases the bald eagle then it sees the dog. If the bear chases the bald eagle and the bald eagle does not like the bear then the bear chases the dog. If something likes the dog then it is green.,The bear chases the bald eagle.,True,OWA,train,5,RelNeg-OWA-D5-477,7,7,9,4,6,proof,[(((triple5 ((((((triple4) -> rule7)) -> rule5)) -> rule1)) -> rule4))],"1. Like(BaldEagle, Bear)
2. Kind(Bear)
3. Like(Bear, BaldEagle)
4. Chase(Dog, BaldEagle)
5. Red(Dog)
6. Chase(Tiger, Bear)
7. Round(Tiger)
","1. IF See(tiger) THEN Chase(bear)
2. IF Like(bear) THEN Like(eagle)
3. IF Kind(person) THEN Like(eagle)
4. IF Red(thing) AND Chase(bear) THEN See(dog)
5. IF See(dog) THEN See(tiger)
6. IF Round(thing) THEN Green(person)
7. IF Chase(eagle) THEN See(dog)
8. IF Bear Chase(eagle) AND Not Like(bear, eagle) THEN Chase(dog)
9. IF Like(dog) THEN Green(person)
","1. Like(BaldEagle, Bear)
2. Kind(Bear)
3. Like(Bear, BaldEagle)
4. Chase(Dog, BaldEagle)
5. Red(Dog)
6. Chase(Tiger, Bear)
7. Round(Tiger)
8. NOTHING.
","1. Chases(Bear)
",False,False
7,8121,8,384,The cow sees the lion. The cow sees the squirrel. The lion visits the rabbit. The rabbit is blue. The rabbit visits the lion. The squirrel sees the cow. The squirrel visits the cow. If something visits the lion and the lion is big then it visits the rabbit. If something visits the cow then it is round. If something likes the squirrel and it visits the rabbit then the squirrel is blue. If the lion visits the squirrel and the lion sees the cow then the lion is red. If something likes the squirrel then the squirrel likes the cow. If something sees the squirrel then it likes the cow. If something sees the squirrel then the squirrel visits the rabbit. If something likes the cow then it likes the squirrel. If something visits the cow then it is kind.,The squirrel likes the squirrel.,True,OWA,dev,5,RelNoneg-OWA-D5-506,5,7,9,4,5,proof,[(((((((((triple2) -> rule6)) -> rule8)) -> rule5)) -> rule8))],"1. Good(Bob)
2. Need(Bob, Apple)
3. Like(Cat, Apple)
4. See(Cow, Lion)
5. See(Cow, Squirrel)
6. Visit(Lion, Rabbit)
7. Visit(Rabbit, Lion)
8. See(Squirrel, Cow)
9. Visit(Squirrel, Cow)
","1. IF Visit(lion, rabbit) AND Big(lion), THEN Visit(something, rabbit)
2. IF Visit(something), THEN Round(something)
3. IF Like(something, squirrel) AND Visit(something, rabbit), THEN Blue(squirrel)
4. IF Visit(lion, squirrel) AND See(lion, cow), THEN Red(lion)
5. IF Like(something, squirrel), THEN Like(squirrel, cow)
6. IF See(something, squirrel), THEN Like(something, cow)
7. IF Like(something, squirrel), THEN Visit(squirrel, rabbit)
8. IF Visit(something), THEN Kind(something)
","1. Good(Bob)
2. Need(Bob, Apple)
3. Like(Cat, Apple)
4. See(Cow, Lion)
5. See(Cow, Squirrel)
6. Visit(Lion, Rabbit)
7. Visit(Rabbit, Lion)
8. See(Squirrel, Cow)
9. Visit(Squirrel, Cow)
","1. Good(Squirrel)
2. Need(Squirrel, Squirrel)
",False,True
8,5755,8,271,"Bob is kind. Dave is nice. Dave is quiet. Erin is nice. Erin is smart. Erin is young. Fiona is kind. Quiet, rough things are smart. All young, rough things are quiet. Cold, nice things are not quiet. If Fiona is kind and Fiona is quiet then Fiona is rough. If something is nice and smart then it is young. If Fiona is nice and Fiona is cold then Fiona is smart. If something is quiet then it is rough. Young things are kind. All nice, kind things are not cold.",Dave is kind.,True,OWA,dev,5,AttNeg-OWA-D5-1124,5,7,9,4,7,proof,[(((((triple2 ((triple3 ((triple3) -> rule7)) -> rule1)) -> rule5)) -> rule8))],"1. Kind(Bob)
2. Nice(Dave)
3. Quiet(Dave)
4. Nice(Erin)
5. Smart(Erin)
6. Young(Erin)
7. Kind(Fiona)
","1. IF Quiet(thing) AND Rough(thing) THEN Smart(thing)
2. IF Young(thing) THEN Nice(thing)
3. IF Nice(thing) AND Smart(thing) THEN Kind(thing)
4. IF Kind(Fiona) AND Quiet(Fiona) THEN Rough(Fiona)
5. IF Nice(thing) AND Cold(thing) THEN Young(thing)
6. IF Young(thing) THEN Kind(thing)
7. IF Quiet(thing) THEN Rough(thing)
","1. Kind(Bob)
2. Nice(Dave)
3. Quiet(Dave)
4. Nice(Erin)
5. Smart(Erin)
6. Young(Erin)
7. Kind(Fiona)
","1. Kind(Dave)
",False,True
9,9013,8,427,The bald eagle chases the cow. The bald eagle chases the dog. The cow needs the bald eagle. The cow sees the lion. The dog chases the cow. The dog is green. The lion is rough. If someone is blue and rough then they see the lion. If someone needs the cow and they do not need the lion then they chase the cow. If someone sees the cow then the cow is kind. If someone is rough then they chase the bald eagle. If someone is blue then they do not chase the bald eagle. If someone is kind then they chase the lion. If someone chases the bald eagle and the bald eagle chases the dog then the bald eagle sees the dog. If the bald eagle sees the dog then the bald eagle sees the cow. If someone needs the cow then they are rough.,The cow is kind.,True,OWA,dev,5,RelNeg-OWA-D5-75,5,7,9,4,6,proof,[(((((((((triple7) -> rule4) triple2) -> rule7)) -> rule8)) -> rule3))],"1. Chase(BaldEagle, Cow)
2. Chase(BaldEagle, Dog)
3. Need(Cow, BaldEagle)
4. See(Cow, Lion)
5. Chase(Dog, Cow)
6. Green(Dog)
7. Rough(Lion)
","1. IF Blue(person) AND Rough(person) THEN See(lion, person)
2. IF Need(person, cow) AND Not(Need(person, lion)) THEN Chase(person, cow)
3. IF See(cow, person) THEN Kind(cow, person)
4. IF Rough(person) THEN Chase(person, bald eagle)
5. IF Blue(person) THEN Not(Chase(person, bald eagle))
6. IF Kind(person) THEN See(lion, person)
7. IF Chase(person, bald eagle) AND Chase(bald eagle, dog) THEN See(dog, person)
8. IF See(cow, person) THEN Need(person, cow)
","1. Chase(BaldEagle, Cow)
2. Chase(BaldEagle, Dog)
3. Need(Cow, BaldEagle)
4. See(Cow, Lion)
5. Chase(Dog, Cow)
6. Green(Dog)
7. Rough(Lion)
8. NOTHING.
","1. Kind(Cow)
",False,False
